model,split,horizon_h,n,n_pos,prevalence,auroc,auprc,brier,ece,specificity_at_sens80,threshold_at_sens80,specificity_at_sens90,threshold_at_sens90,brier_calibrated,ece_calibrated
ablation_phys+lab,test,3,12485,169,0.013536243492190628,0.8253390499874124,0.09860651645603939,0.017924421874095566,0.04746767105264718,0.7427736278012342,0.063022934,0.5652809353686261,0.0384754,0.012883105859408167,0.003953986384189394
ablation_phys+lab,test,6,12485,322,0.02579094913896676,0.8090890660658561,0.11802043847630286,0.03171085016886322,0.06394314743652381,0.6974430650332977,0.08445075,0.5353120118391844,0.05727856,0.0240222133612253,0.007097570478208178
ablation_phys+text,validation,1,14774,38,0.0025720860971977797,0.7634168381050346,0.03013944271019287,0.006681256227381678,0.029466560523940706,0.4965390879478827,0.009410256,0.25251085776330073,0.0047916872,0.002534427826121702,0.0006021683641264228
ablation_phys+text,validation,3,14774,178,0.012048192771084338,0.7919862606655356,0.10077619086578797,0.027203459293471902,0.06969782720029105,0.5517950123321458,0.03698246,0.33152918607837767,0.019205019,0.01131104951590932,0.0026184012514693903
ablation_phys+text,validation,6,14774,349,0.023622580208474346,0.7842717742696389,0.14964282453126476,0.04135165167243376,0.08854599159832816,0.5517504332755633,0.059447452,0.2811091854419411,0.028822977,0.021357090290138107,0.005078576118651645
ablation_phys+text,test,1,12485,41,0.0032839407288746494,0.8650030184004829,0.026116914314432787,0.0057969440599797695,0.024140048240600724,0.7974927675988428,0.030819478,0.7291063966570235,0.02080435,0.0032408921173125048,0.0015169475265865576
ablation_phys+text,test,3,12485,169,0.013536243492190628,0.8461322261319764,0.0891767541792928,0.023276120664628985,0.057644873423163795,0.7815037349788893,0.0795647,0.526388437804482,0.028976055,0.012853807405827304,0.0059024832034611854
ablation_phys+text,test,6,12485,322,0.02579094913896676,0.8245393957746816,0.12558921932994144,0.03752324706342428,0.07303576119775732,0.7716024007235057,0.11135875,0.4867220258159993,0.042367406,0.023850561722382008,0.009283761517041925
ablation_text,validation,1,14774,38,0.0025720860971977797,0.41433349762843596,0.0022194341972615692,0.0033929346758670405,0.026820198908372818,0.07464712269272533,0.018788742,0.03467698154180243,0.014990064,0.0025647586125176892,0.0015980256537611675
ablation_text,validation,3,14774,178,0.012048192771084338,0.4570847869664153,0.01241011981311137,0.016484483245951205,0.06464219887565995,0.11270211016716913,0.058398154,0.03418744861605916,0.04674246,0.01189941954439543,0.0037017182001278775
ablation_text,validation,6,14774,349,0.023622580208474346,0.47459887869774,0.02678371466775125,0.030635175751060107,0.08359923270840666,0.13837088388214902,0.08582962,0.03958405545927213,0.06992877,0.02306202824479893,0.007432988420108495
ablation_text,test,1,12485,41,0.0032839407288746494,0.5763949322231892,0.004127492119443247,0.004158824172066744,0.02748596977320785,0.3302796528447445,0.023537826,0.1536483445837351,0.018293014,0.003276265438571788,0.001985907646335712
ablation_text,test,3,12485,169,0.013536243492190628,0.5647512448328147,0.015544785858499445,0.017996905653921442,0.06486130912935523,0.2107827216628776,0.056862168,0.13624553426437158,0.052890837,0.013371336523741065,0.006447022710715015
ablation_text,test,6,12485,322,0.02579094913896676,0.5649812101971001,0.029144488504980314,0.032566151096597856,0.08266852427344813,0.30757214503000907,0.09068149,0.129491079503412,0.073866874,0.025152686814543048,0.01279713695953782
